city,year,weekofyear,total_cases
sj,2008,18,21
sj,2008,19,25
sj,2008,20,29
sj,2008,21,25
sj,2008,22,31
sj,2008,23,31
sj,2008,24,34
sj,2008,25,36
sj,2008,26,39
sj,2008,27,41
sj,2008,28,32
sj,2008,29,36
sj,2008,30,44
sj,2008,31,37
sj,2008,32,40
sj,2008,33,44
sj,2008,34,44
sj,2008,35,50
sj,2008,36,46
sj,2008,37,58
sj,2008,38,44
sj,2008,39,37
sj,2008,40,40
sj,2008,41,40
sj,2008,42,38
sj,2008,43,33
sj,2008,44,35
sj,2008,45,38
sj,2008,46,37
sj,2008,47,33
sj,2008,48,29
sj,2008,49,28
sj,2008,50,23
sj,2008,51,20
sj,2008,52,20
sj,2009,1,22
sj,2009,2,18
sj,2009,3,20
sj,2009,4,15
sj,2009,5,16
sj,2009,6,18
sj,2009,7,14
sj,2009,8,18
sj,2009,9,18
sj,2009,10,17
sj,2009,11,18
sj,2009,12,15
sj,2009,13,13
sj,2009,14,22
sj,2009,15,17
sj,2009,16,21
sj,2009,17,19
sj,2009,18,21
sj,2009,19,23
sj,2009,20,24
sj,2009,21,23
sj,2009,22,33
sj,2009,23,31
sj,2009,24,34
sj,2009,25,34
sj,2009,26,34
sj,2009,27,36
sj,2009,28,39
sj,2009,29,39
sj,2009,30,40
sj,2009,31,45
sj,2009,32,38
sj,2009,33,41
sj,2009,34,39
sj,2009,35,42
sj,2009,36,39
sj,2009,37,45
sj,2009,38,42
sj,2009,39,39
sj,2009,40,46
sj,2009,41,46
sj,2009,42,43
sj,2009,43,36
sj,2009,44,36
sj,2009,45,33
sj,2009,46,33
sj,2009,47,36
sj,2009,48,32
sj,2009,49,34
sj,2009,50,30
sj,2009,51,30
sj,2009,52,27
sj,2010,53,27
sj,2010,1,21
sj,2010,2,18
sj,2010,3,20
sj,2010,4,23
sj,2010,5,23
sj,2010,6,22
sj,2010,7,19
sj,2010,8,22
sj,2010,9,23
sj,2010,10,25
sj,2010,11,19
sj,2010,12,27
sj,2010,13,25
sj,2010,14,20
sj,2010,15,24
sj,2010,16,25
sj,2010,17,35
sj,2010,18,31
sj,2010,19,31
sj,2010,20,36
sj,2010,21,34
sj,2010,22,48
sj,2010,23,42
sj,2010,24,41
sj,2010,25,41
sj,2010,26,41
sj,2010,27,43
sj,2010,28,45
sj,2010,29,41
sj,2010,30,42
sj,2010,31,42
sj,2010,32,49
sj,2010,33,45
sj,2010,34,49
sj,2010,35,50
sj,2010,36,50
sj,2010,37,48
sj,2010,38,45
sj,2010,39,48
sj,2010,40,47
sj,2010,41,51
sj,2010,42,38
sj,2010,43,31
sj,2010,44,40
sj,2010,45,40
sj,2010,46,32
sj,2010,47,26
sj,2010,48,25
sj,2010,49,23
sj,2010,50,20
sj,2010,51,20
sj,2011,52,20
sj,2011,1,20
sj,2011,2,16
sj,2011,3,14
sj,2011,4,16
sj,2011,5,15
sj,2011,6,17
sj,2011,7,14
sj,2011,8,16
sj,2011,9,17
sj,2011,10,14
sj,2011,11,17
sj,2011,12,18
sj,2011,13,17
sj,2011,14,19
sj,2011,15,18
sj,2011,16,20
sj,2011,17,13
sj,2011,18,22
sj,2011,19,22
sj,2011,20,20
sj,2011,21,27
sj,2011,22,39
sj,2011,23,37
sj,2011,24,38
sj,2011,25,40
sj,2011,26,42
sj,2011,27,40
sj,2011,28,41
sj,2011,29,37
sj,2011,30,42
sj,2011,31,40
sj,2011,32,42
sj,2011,33,43
sj,2011,34,46
sj,2011,35,39
sj,2011,36,39
sj,2011,37,44
sj,2011,38,42
sj,2011,39,41
sj,2011,40,41
sj,2011,41,39
sj,2011,42,36
sj,2011,43,34
sj,2011,44,38
sj,2011,45,35
sj,2011,46,36
sj,2011,47,32
sj,2011,48,26
sj,2011,49,21
sj,2011,50,29
sj,2011,51,24
sj,2012,52,24
sj,2012,1,20
sj,2012,2,20
sj,2012,3,17
sj,2012,4,15
sj,2012,5,16
sj,2012,6,17
sj,2012,7,11
sj,2012,8,14
sj,2012,9,15
sj,2012,10,16
sj,2012,11,17
sj,2012,12,18
sj,2012,13,17
sj,2012,14,19
sj,2012,15,22
sj,2012,16,22
sj,2012,17,21
sj,2012,18,26
sj,2012,19,28
sj,2012,20,33
sj,2012,21,30
sj,2012,22,26
sj,2012,23,32
sj,2012,24,36
sj,2012,25,35
sj,2012,26,36
sj,2012,27,39
sj,2012,28,38
sj,2012,29,38
sj,2012,30,36
sj,2012,31,39
sj,2012,32,38
sj,2012,33,40
sj,2012,34,42
sj,2012,35,34
sj,2012,36,37
sj,2012,37,35
sj,2012,38,35
sj,2012,39,43
sj,2012,40,45
sj,2012,41,40
sj,2012,42,42
sj,2012,43,43
sj,2012,44,40
sj,2012,45,34
sj,2012,46,38
sj,2012,47,42
sj,2012,48,28
sj,2012,49,30
sj,2012,50,23
sj,2012,51,22
sj,2013,1,19
sj,2013,2,22
sj,2013,3,21
sj,2013,4,14
sj,2013,5,21
sj,2013,6,17
